X,Y,tourism,name,ele,operator,website,wikidata,wikipedia,reg_name,phone,capacity,url,amenity,internet_access,addr:city,addr:postcode,opening_hours,email,addr:street,alt_name,name:de,rooms,addr:housenumber,place,access,beds,wheelchair,addr:country,contact:phone,cuisine,description,smoking,AlpinRes_ID,contact:email,internet_access:fee,reservation,shower,toilets,winter_room
7.5002522,46.3423949,alpine_hut,Cabane des Violettes,2209,SAC - CAS,,,,,,,http://www.casmontana.ch,restaurant,,,,,,,,,,,locality,,,,,,,,,,,,,,,
7.5221645,46.3527502,alpine_hut,Petit Mt Bonvin,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6143013,46.2328879,alpine_hut,Cabane Bella Tola,2340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5744936,46.4002923,alpine_hut,Lämmerenhütte,2502,SAC,,,,"Freiburger, Waadtländer und Berner Alpen",,,http://www.laemmerenhuette.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7796559,46.0059598,alpine_hut,Mountain Lodge Ze Seewjinen,2296,,https://www.zeseewjinu.ch/,,,,+41 79 900 23 00,,,restaurant,,,,,info@zeseewjinu.ch,,,,,,,,,,,,,,,,,,,,,
7.8300141,46.0515706,alpine_hut,Täschhütte,2701,SAC - CAS,,Q2463654,de:Täschhütte,Walliser Alpen,,,http://www.taeschhuette.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7435489,46.0859594,alpine_hut,Weisshornhütte SAC,2932,SAC - CAS,,Q14634889,de:Weisshornhütte,Walliser Alpen,,,http://www.sac-basel.ch/unsere-huetten,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.8071258,46.0885386,alpine_hut,Kinhütte,2584,"Gebrüder Imboden, Täsch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.8957631,46.084786,alpine_hut,Längfluehütte,2869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.8888023,46.1094153,alpine_hut,Mischabelhütte,3335,Akademischer Alpen-Club Zürich,https://www.mischabelhuette.ch/,Q684237,,,+41 27 957 13 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7620513,46.1568813,alpine_hut,Topalihütte,2674,SAC - CAS,,Q17326615,,Walliser Alpen,,,https://www.topalihütte.ch/,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9350236,46.0600605,alpine_hut,Britanniahütte,3030,,,Q678389,de:Britanniahütte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9848001,46.1011476,alpine_hut,Almagelleralp,2194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9778974,46.1437614,alpine_hut,Weissmieshütte SAC,2726,,,Q682880,de:Weissmieshütte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.8170408,46.394999,alpine_hut,Bietschhornhütte,2565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0803184,46.2607415,alpine_hut,Monte Leone-Hütte,2848,"SAC - CAS, Section Sommartel",,Q2783334,,Walliser Alpen,,,http://www.cas-sommartel.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0933482,46.2938617,alpine_hut,Bortelhütten,2113,Skiklub Brig-Simplon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1035636,46.5768924,alpine_hut,Chez l'Aimé,1141,,http://chez-l-aime.magix.net/website,,,,+33 3 84 33 59 45,31,,,,Chapelle-des-Bois,25240,,,Sur les lacs,,,,12,,customers,,,,,,,,,,,required,,,
6.1679021,46.4981459,alpine_hut,Les Pralets,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,recommended,,,
6.2186355,46.5374589,alpine_hut,Cabane de l'Écureuil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2766981,46.5713012,alpine_hut,Cabane du Grand-Cunay,,,,,,,,,,,,,,,,,Le Grand-Cunay,,,,,,,,,,,,,,,,,,,
6.2959137,46.5819696,alpine_hut,L'aurore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1866994,46.6251038,alpine_hut,La Jaique,1370,,,,,,,,,,,,,,,,La Gèque,,,,,,,,,,,,,,,,,,,
6.2955918,46.5866301,alpine_hut,La Pivette,1563,Association de La Pivette,,,,,,,,,no,,,,,La pivette,,,,,,,,,,,,,,,,,,,,
6.3011038,46.5858858,alpine_hut,Cabane des éclaireurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4028526,46.5798144,alpine_hut,La Bouennaz,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
7.0075287,46.5277449,alpine_hut,Les Moilles,1356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.002767,46.5527394,alpine_hut,Le Gros Plané,1480,,,,,,,,,,no,,,,,,,,,,,,,no,,,,,no,,,no,,,,
6.7540427,46.6903405,alpine_hut,Buvette des Brigands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4474168,46.8306233,alpine_hut,Refuge de la gare d'Olten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5503536,46.7837067,alpine_hut,Refuge de Champvent,,,,,,,,,,,no,,,,,,,,,,,,,no,,,,,no,,,no,,,,
6.5485953,46.8069532,alpine_hut,thibaud的家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8430224,47.022972,alpine_hut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8478808,47.1008517,alpine_hut,Ferme Sterchi - Chambres,,,https://fermesterchi.weebly.com/dormir-sur-la-paille.html,,,,+41 32 968 28 37,,,,,,,,info@fermesterchi.ch,,,,,,,,35,,,,,,,,,,,,,
6.9933911,47.1636963,alpine_hut,Chalet de Mont-Soleil,,Amis de la Nature,http://www.laserment.com/montsoleil/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8894749,47.2285778,alpine_hut,Refuge de la Montée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0860631,46.4374912,alpine_hut,Cabane des Monts-Chevreuils,,,http://www.monts-chevreuils.ch/cabane.html,,,,+41774799086,30,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,
7.2634787,46.5764612,alpine_hut,Chalet Du Soldat,,,http://www.chaletdusoldat.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,CH8249,,,,,,
7.2837098,46.5955682,alpine_hut,Bärghus Gastlosen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2588441,46.6377342,alpine_hut,Cerniets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2828906,46.6295452,alpine_hut,Ritzlialp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2853529,46.6332031,alpine_hut,Obere Euschels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2897731,46.6412989,alpine_hut,Untere Euschels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2962218,46.5921363,alpine_hut,Chalet Grat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2074489,46.7088135,alpine_hut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2085239,46.7110976,alpine_hut,Crau,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2246239,46.7054221,alpine_hut,Feyersaga,1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3357455,46.6757824,alpine_hut,Hohberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3401847,46.6704747,alpine_hut,Schönenboden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4994647,46.4112612,alpine_hut,"Flueseehütte, Fluhseehütte",2049,Fluhseeverein Lenk,https://www.fluhsee.ch/,,,,+41 78 926 08 92,,,,,Lenk,3775,,,,,,,,,,,,,,,"Schutzhütte, Übernachtung möglich. Reservation von Vorteil.",,,,,,,,
7.4330331,46.5457618,alpine_hut,Fromatthütte,1800,SAC,https://www.sac-wildhorn.ch/huetten/fromatthuette/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4625127,46.5529237,alpine_hut,Bergheim Wildgrimmi,,Vereinigung Bergheim Wildgrimmi,https://www.bergheim-wildgrimmi.ch/,,,,,,,,no,Diemtigen,3757,,,Wildgrimmi,,,,643b,,private,,,CH,,,,,,,,,,,
7.4396304,46.5662272,alpine_hut,Stierenberg,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7168702,46.4162945,alpine_hut,Lötschenpass Hütte,,,https://www.loetschenpass.ch/,,,,,,,,,Wiler,3918,,,,,,,,,,,,,,,,,,,,,,,
7.6478577,46.4560973,alpine_hut,Altelshütte,1933,SAC,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,
7.649417,46.4602906,alpine_hut,Winteregghütte,1897,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6559179,46.4643297,alpine_hut,Stock,1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6898826,46.4512143,alpine_hut,Balmhornhütte SAC,1956,SAC,,Q805473,,"Freiburger, Waadtländer und Berner Alpen",,,http://www.sac-altels.ch/huetten/balmhornhuette.php,,,,3718,,,,,,,1,,,,,,,,,,,,,,,,
7.6973396,46.4869025,alpine_hut,Doldenhornhütte,1915,,,Q1235426,,"Freiburger, Waadtländer und Berner Alpen",+41 77 453 17 86,,http://www.doldenhornhuette.ch,,,,,,doldenhornhuette@bluewin.ch,,,Tel +4177 4531786,,,,,,,,,,,,,,,,,,
7.6868072,46.5416874,alpine_hut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6936617,46.5647784,alpine_hut,Grathütte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5164999,46.6283074,alpine_hut,Rinderalphütte SAC,1703,SAC,http://www.rindere.ch/,,,,,,,,,Erlenbach im Simmental,3762,,,Rinderalp,,,,41,,,,,CH,,,,,,,,,,,
7.4381964,46.6923247,alpine_hut,Mittliste Morgete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.441712,46.6966644,alpine_hut,Obriste Morgeten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3142639,47.0148203,alpine_hut,Waldhaus - Burgergemeinde Seedorf,,,,,,,,,,,,,,,,,,Waldhaus - Burgergemeinde Seedorf,,,,,,,,,,,,,,,,,,
7.8301446,46.4862557,alpine_hut,Mutthornhütte SAC,2901,SAC - CAS,,Q1956084,,"Freiburger, Waadtländer und Berner Alpen",,,http://www.mutthornhuette.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7716514,46.5101001,alpine_hut,Blümlisalphütte SAC,2840,SAC,http://www.bluemlisalphuette.com/typo3/,Q887175,,"Freiburger, Waadtländer und Berner Alpen",+4133 676 14 37,,http://www.bluemlisalphuette.com,,,Kandersteg,3718,,info@bluemlisalphuette.com,Hohtürli,,,,,,,,,,,,,,,,,,,,
7.8102967,46.5127253,alpine_hut,Gspaltenhornhütte SAC,2458,SAC - CAS,,Q16064923,,"Freiburger, Waadtländer und Berner Alpen",,,http://www.gspaltenhornhuette.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.8923105,46.4991445,alpine_hut,Schmadrihütte,2262,AACB,,Q1472253,,,,,www.aacb.ch/schmadri,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.88549,46.5181558,alpine_hut,Berghotel Obersteinberg,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.8933302,46.523176,alpine_hut,Berggasthaus Tschingelhorn,1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.8382057,46.5451932,alpine_hut,Rotstockhütte,2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.8740173,46.5488462,alpine_hut,Spielboden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.973836,46.4249019,alpine_hut,Oberaletschhütte,2640,SAC - CAS,,Q1585382,,"Freiburger, Waadtländer und Berner Alpen",,,http://www.oberaletsch.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9117106,46.454528,alpine_hut,Anenhütte,2358,,https://anenhuette.ch/,,,,,,,,,Wiler,3918,,,,,,,,,,,,,,,,,,,,,,,
7.9603805,46.4752686,alpine_hut,Hollandiahütte,3238,SAC - CAS,,Q14907533,de:Hollandiahütte,"Freiburger, Waadtländer und Berner Alpen",,,http://www.hollandiahuette.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9447199,46.5261128,alpine_hut,Rottalhütte SAC,2755,SAC - CAS,,,,"Freiburger, Waadtländer und Berner Alpen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9335823,46.5489879,alpine_hut,Silberhornhütte SAC,2663,SAC - CAS,,,,"Freiburger, Waadtländer und Berner Alpen",,,http://www.sac-lauterbrunnen.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9809631,46.5479352,alpine_hut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9743995,46.5627465,alpine_hut,Guggihütte,2791,SAC - CAS,,Q20669004,,"Freiburger, Waadtländer und Berner Alpen",,,http://www.sac-interlaken.ch/,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0532078,46.5004574,alpine_hut,Konkordia Hütte,,Schweizer Alpenklub SAC,,Q686133,,,,,,,,,,,,,,,,,locality,,,,,,,,,,,,,,,
8.0206851,46.5667797,alpine_hut,Berglihütte SAC,3299,SAC,,,,"Freiburger, Waadtländer und Berner Alpen",,,http://www.sac-bern.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7817908,46.6257797,alpine_hut,Brunnialp,,Skiclub Leissigen,http://www.scleissigen.ch,,,,,,,,no,,,,,,,,,,,,,,,,,,no,,,,,,,
7.8689379,46.6184639,alpine_hut,Lobhorn Hutte,1955,,https://www.lobhornhuette.ch/,Q2364721,de:Suls-Lobhorn-Hütte,,+41 79 656 53 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.8217329,46.7040852,alpine_hut,Hubelhuus Beatenberg,,Drudel 11 - Erlebnispädagogik und Umweltbildung,https://www.hubelhuus.ch/,,,,,,,,,,,,,,,Hubelhuus Beatenberg,,,,,,,,,,,,,,,,,,
7.8545566,46.7344684,alpine_hut,Allmi / Läger,,,,,,,,,,,wlan,,,,,,,Allmi / Läger,,,,,,,,,,,,,,,,,,
8.0414212,46.6003091,alpine_hut,Eiger-Ostegghütte,2317,,,Q1303478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.060051,46.6004697,alpine_hut,Bäregghütte,1775,,https://www.baeregg.com/,Q1019066,de:Berghaus Bäregg,,,,,restaurant,,,,,,,,,,,,,,,,,regional,,,CH6621,,,,,,
8.0249344,46.7342851,alpine_hut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.2428863,46.4892737,alpine_hut,Galmihornhütte,2113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1144707,46.5219629,alpine_hut,Finsteraarhornhütte,3048,,,Q1418340,de:Finsteraarhornhütte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0986915,46.581836,alpine_hut,Schreckhornhütte SAC,2529,SAC,https://www.sac-basel.ch/huetten/schreckhornhuette/,Q2249586,de:Schreckhornhütte,"Freiburger, Waadtländer und Berner Alpen",+41 33 855 10 25,,http://www.sac-basel.ch/unsere-huetten,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1522305,46.5555214,alpine_hut,Aarbiwak,2731,SAC Pilatus,,,,"Freiburger, Waadtländer und Berner Alpen",,,http://www.sac-pilatus.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.2220231,46.5700844,alpine_hut,Lauteraarhütte,2393,SAC Zofingen,,Q15241937,,,,,http://www.haslihuetten.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.2774599,46.5489051,alpine_hut,Berghaus Oberaar,,KWO Kraftwerke Oberaar,https://www.grimselwelt.ch/grimselhotels/oberaar/,,,,,,,,,,,,,,,,,,,,,,,+41 33 982 36 11,,,,,welcome@grimselhotels.ch,,,,,
8.4151788,46.5724732,alpine_hut,Furkapasshöhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0965635,46.6251051,alpine_hut,Glecksteinhütte SAC,2317,SAC - CAS,http://www.gleckstein.ch,Q1530186,de:Glecksteinhütte,"Freiburger, Waadtländer und Berner Alpen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1693892,46.655113,alpine_hut,Dossenhütte SAC,2663,SAC - CAS,,Q1251021,,"Freiburger, Waadtländer und Berner Alpen",,,http://www.dossenhuette.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.2166385,46.6237521,alpine_hut,Gaulihütte SAC,2205,SAC - CAS,,,,"Freiburger, Waadtländer und Berner Alpen",,,http://www.gauli.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.2592015,46.6058904,alpine_hut,Gruebenhütte,2512,AAC Basel,http://www.gruebenhuette.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1728265,46.6831781,alpine_hut,Engelhornhütte,1901,AACB ( www.aacb.ch/engelhorn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1789421,46.7001922,alpine_hut,Reutsperre,1272,Naturfreunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.2825761,46.5869668,alpine_hut,Bächlitalhütte SAC,2328,SAC - CAS,,,,"Freiburger, Waadtländer und Berner Alpen",,,http://www.baechlitalhuette.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.3430171,46.6312686,alpine_hut,Gelmerhütte,2412,,https://www.gelmerhuette.ch/,,,,+41 33 973 11 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.4267758,46.597464,alpine_hut,Sidelenhütte,2710,,,Q16887864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.3479621,46.694965,alpine_hut,Windegghütten SAC,1887,SAC - CAS,,Q1719862,,"Urner, Schwyzer und Unterwaldner Alpen",,,http://www.windegghuette.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.3767423,46.6779097,alpine_hut,Trifthütte SAC,2520,SAC - CAS,http://www.trifthuette.ch,Q18631956,de:Trifthütte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.4142131,46.7020605,alpine_hut,Tierberglihütte SAC,2795,SAC Sektion Baselland,https://www.tierbergli.ch/,Q2432127,de:Tierberglihütte,"Urner, Schwyzer und Unterwaldner Alpen",+41 33 971 27 82,,,,,,,,,,,,,,,,70,no,,,,,,,,,,,,
7.9060843,46.7825744,alpine_hut,Hohganthütte SAC,1805,SAC,,,,SAC Emmental,,,www.sac-emmental.ch/hohganthuette/,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9814478,46.8509793,alpine_hut,Heftihütte,1904,SAC Emmental,http://www.sac-emmental.ch/heftihuette/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9416032,46.9939041,alpine_hut,Gruppenunterkunft Mettlenalp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1761769,46.9782289,alpine_hut,Mösere Hütte,1325,,http://www.sc-malters.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
