X,Y,tourism,name,website,addr:street,addr:housenumber,addr:postcode,addr:city,phone,internet_access,operator,addr:country,email,amenity,contact:phone,rooms,contact:email,wheelchair,internet_access:fee,contact:website,smoking,opening_hours,guest_house,contact:addr,alt_name,beds,cuisine,description,contact:mobile,name:en,name:fr,addr:housename,contact:fax,designation,ele,name:de,outdoor_seating
6.3545628,46.2963633,guest_house,A l'ombre des kiwis,www.alombredeskiwis.com,,,,,+33 4 50 85 25 24,wlan,,,contact@alombredeskiwis.com,,,,,no,no,,,,,,,,,,,,,,,,,,
6.3559436,46.3490857,guest_house,Au Bonheur du Lac,http://www.aubonheurdulac.com,Route du Lac,910,74140,,+33676352553,,,,,,,,,,,,,,,,,,,,,,Au Bonheur du Lac,,,,,,
6.44176,46.3595256,guest_house,Podico,podico.com,Chemin du Foiset,3,74200,Anthy-sur-Léman,+33 4 50 26 04 36,wlan,Eric et Roslina,,,,,3,,,,,outside,,,,,,,,,,,,,,,,
6.441827,46.3595644,guest_house,Podico,podico.com,Chemin du Foiset,3,74200,Anthy-sur-Léman,+33 450260436,,Eric et Roslina,,,,,,,,,,outside,,,,,,,,,,,,,,,,
6.7383367,46.0895533,guest_house,Gite des Fontaines,gitedesfontaines.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7080163,46.1781158,guest_house,Le Mas de la Coutettaz,,Chemin de la Coutetaz,429,74110,Morzine,,,,,,,,,,,,,,,,,,,,,,,,Le Mas de la Coutettaz,,,,,
7.0219936,46.1233734,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0218354,46.1265841,guest_house,BB Le Tchoum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9889043,46.2117421,guest_house,Claude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8324823,46.3455123,guest_house,Café restaurant du Grammont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9425961,46.2426005,guest_house,Alain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9598794,46.2413012,guest_house,Entre deux Nants,http://www.entredeuxnants.ch/,,,,,+41 24 471 48 76,,,,location.edn@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,
6.9687001,46.3139029,guest_house,Yves & Josette Jaccard,,,,,,+41 24 466 7241,wlan,,,,,,,,no,no,,no,,,,,,,,,,,,,,,,
7.014663,46.2745764,guest_house,Le Mazot,http://www.lemazot-antagnes.ch,Chemin des Vignes,1,1867,Ollon,+41774134883,yes,Jean-Louis Ambresin,,,,,1,,,no,,outside,,,,,1 double,,,,,,,,,,,
6.8869553,46.3365721,guest_house,Bed & Breakfast chez Tutta,,,,,,+41 24 481 23 03,,,,,,,,,,,,,,bed_and_breakfast,,,,,,,,,,,,,,
7.0009089,46.3422246,guest_house,Le Bockli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0056697,46.3428027,guest_house,Les Airelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0208568,46.3486722,guest_house,Chalet Ermina,,,,,,,,Ariane Giobellina,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1073731,45.9555921,guest_house,Café Restaurant du Dolent,,,,,,+41277881176,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,
7.1165356,46.03008,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0991022,46.0355083,guest_house,Gite Bon Abri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1274539,45.9946127,guest_house,Croquenature,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,
7.1622683,45.9911011,guest_house,Le Chapelet,,,,,,,,,,,restaurant,,,,no,,,,,,,,,,,,,,,,,1595,,
7.1837919,45.9872833,guest_house,Café de Dranse,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,
7.4898417,46.053512,guest_house,Pension du Lac Bleu,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,
7.0382021,46.1381727,guest_house,Hôtel de la Gare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1359336,46.1482359,guest_house,Café des Amis,http://www.cafedesamis-fully.ch/index.php/chambres-d-hotes,Route de Saillon,142,1926,Fully,+41 27 746 18 95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1786145,46.2029412,guest_house,Les 4 Saisons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1854779,46.2065903,guest_house,Le Temps de Vivre,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,
7.2264916,46.0669155,guest_house,BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2227871,46.0742755,guest_house,B&B Famille Maret,,Rue des Fontaines,32,,Montagnier,,,,CH,,,,,,,,,,,,,,,,,,,,,,,,,
7.2151545,46.0796124,guest_house,Una Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0690886,46.2608258,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1546518,46.3525378,guest_house,Châlet Alpin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5065658,46.093657,guest_house,La Grande Peur dans la Montagne,,,,,,,,,,,,,,,,,,,,bed_and_breakfast,,,,,,,,,,,,,,
7.510937,46.1064135,guest_house,Balcon du val d'Hérens,http://www.balcon-herens.ch,Route de Pranoé,40,1985,,+41 79 359 80 12,,,,,,,,,,,,,,,,,,,,,,Balcon du val d'Hérens,,,,,,
7.4991822,46.1108134,guest_house,Ferme de Clos-Lombard - Gîte et BnB,https://www.giteruralevolene.ch/,Rue Centrale,111,1983,Evolène,,wlan,Catherine et Marius Pannatier,,,,,,,yes,,,,,,,,,,,,,,,,,,,
7.4952992,46.1152573,guest_house,Chalet Les Criquets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3899929,46.1625029,guest_house,La Clé des Champs - Studio,http://www.lacledeschamps.ch,Rue du Vieux-Village 2,,1987,,,,,,,,,,,,,,,,,,,,,,,,La Clé des Champs - Studio,,,,,,
7.4028015,46.2080811,guest_house,Chalet le Rucher,http://chaletlerucher.ch,Route de Courtille,73,1981,,+41 (0)79 858 97 10,,,,info@chaletlerucher.ch,,,,,,,,,,,,,,,,,,,,,,,,
7.6300404,46.1297496,guest_house,Auberge Alpina,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,
7.6263311,46.1328528,guest_house,Auberge La Navizence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6259199,46.1331924,guest_house,Auberge Les Bondes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6264054,46.1380453,guest_house,Auberge de Jeunesse Les Liddes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.596304,46.2213459,guest_house,Guesthouse Hôtel Le Cervin,http://www.hotelducervin.ch,Rue du Cervin,1,,,+41 27 475 16 68,,,,,,,,,,,,,,,,,,,,,,,,,,1655,,
7.4739296,46.2884875,guest_house,Aux Bons Matins de Capella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6066936,46.3187002,guest_house,BnB zum Schleif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6265721,46.3764294,guest_house,Haus Bergtreu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.625974,46.3770975,guest_house,Haus Flora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6260596,46.3773749,guest_house,Haus Matterhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6312702,46.3773693,guest_house,Haus Mosaik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6315949,46.377049,guest_house,Haus Larchenwald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6307891,46.3775618,guest_house,Haus Adora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6310881,46.3775848,guest_house,Haus l Archmatten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6271161,46.3818385,guest_house,Haus Majing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.626746,46.3820579,guest_house,Chalet Kakadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6255717,46.3832454,guest_house,Haus Saskia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6252437,46.3832862,guest_house,Haus Alpen,http://www.ferienwohnung-alpen.ch/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6259836,46.3831005,guest_house,Haus Vera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7226334,46.326615,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9004082,46.2574894,guest_house,Haus Tärbinu,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,
7.7738436,46.3990167,guest_house,Ferienheim Kriens,,Kirchweg,13,3917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9886058,46.3146001,guest_house,Matza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1345719,46.403107,guest_house,Baumhaus bed&breakfast Fiesch,https://www.baumhausfiesch.ch/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1369225,46.4020376,guest_house,Haus de Vios,http://www.devios.ch/,,,,,+41 27 971 15 17,,Maria + Peter Heinzer-Burri,,maria.heinzer@bluewin.ch,,,,,,,,,,,,,,,,,,,,,,,,
8.1373821,46.4026469,guest_house,Haus Boniface,http://www.boniface.ch,,,,,+41 27 971 15 39,no,,,info@boniface.ch,,,,,yes,,,no,,,,,,,,,,,,,,,,
6.1599816,46.4092572,guest_house,,,Route de la Florettaz,41,1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2355434,46.4246667,guest_house,Auberge de la Réunion,https://www.auberge-coinsins.ch/,,,1267,Coinsin/VD,+41 22 364 23 01,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
6.2052048,46.4622498,guest_house,La Clemonie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bed and Breakfast,,,
6.4997142,46.5126483,guest_house,Morges-Guesthouse,,Avenue des Pâquis,16,1110,Morges,+41768031286,wlan,,CH,,,,,,,no,,,,,,,,,,,,,,,,,,
6.6045966,46.533251,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4497765,46.7018727,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4602928,46.693202,guest_house,Maison Junod,https://maisonjunod.ch/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4655576,46.6927781,guest_house,Domaine de Praël,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.471025,46.6929357,guest_house,La Butineuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7188485,46.4904564,guest_house,Petit Paradis,,Chemin de la Charrerette,2,1091,Bourg-en-Lavaux,+41792125518,yes,,,27schafer@gmail.com,,,2,,,,,,,,,,,,,,,,,,,,,
6.7369084,46.4898395,guest_house,Famille Longet-Voruz,,Route de Vevey,49,1096,Cully,,yes,,,,,+41 796 45 40 66,,longetvoruz@cavedemoratel.ch,,,http://www.cavedemoratel.ch/,,,,,,,,,,,,,,,,,
6.842977,46.4592372,guest_house,Le Charlot,http://www.lecharlot.com,Place du marché,3,,,+41 (0) 78 796 28 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9110472,46.4317291,guest_house,Lake View Apartments,,Rue de la Paix,5,1820,Montreux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7854184,46.6460755,guest_house,Les Neues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7854184,46.6460755,guest_house,Les Brits,,,,,,,,,,,,,,,,,,,,,,,,,Übernachtungsmöglichkeit für Pilger (B&B),,,,,,,,,
6.6883283,46.7093001,guest_house,Educanes,http://www.educanes.ch,Route de Pailly,,1047,Oppens,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,
6.5339001,46.8276012,guest_house,bnblesrasses.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7833519,46.8170213,guest_house,B&B Kim Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9346785,46.8225895,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9616093,46.8317361,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9933485,46.8159741,guest_house,Bed & Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7158034,46.9364733,guest_house,Le Soliat,https://www.lesoliat.ch/,,,,,+41 32 863 31 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7250705,46.9980254,guest_house,BnB Les Prises,http://www.lesprises.ch,Les Prises,12,2316,Les Ponts-de-Martel,+41 32 926 98 55,wlan,Eveline & Claude-Eric Robert,FR,cerobert@bluewin.ch,,,4,,limited,no,,no,,,,,8,,,,,,,,,,,
6.7351026,46.999054,guest_house,Chambres d'Hôtes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7351955,46.9990761,guest_house,Buffet de la Gare,,,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,
6.7754325,47.0466727,guest_house,Relais de la Baume,http://www.relaisdelabaume.ch/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9308421,46.9948726,guest_house,Louis-Favre 21,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
7.0260232,47.0164854,guest_house,Montmirail,,,,2075,Thielle-Wavre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9066926,47.1558784,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.907895,47.1557526,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0138442,47.1351635,guest_house,Naturfreundehaus La Châtelaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9637859,47.1541379,guest_house,Auberge L'Assesseur,https://www.montsoleil.ch/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9628926,47.1828211,guest_house,Chez Tante Eva,https://www.hotelbeausejour.ch/,,,,,+41 32 954 12 42,,,,info@hotelbeausejour.ch,,,8,,,,,,,,,,,,,,,,,,,,,
6.9971862,47.1533306,guest_house,Sous le Tilleul,https://sous-le-tilleul.wixsite.com/,,,,,,wlan,,,,,,1,,,no,,,,,,,,,,,,,,,,,,
7.0215722,47.1570376,guest_house,Le Cocon,https://lecocon.ch/,,,,,+41 32 941 61 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0376768,46.4893283,guest_house,,http://www.combazdamont.ch/home/Bienvenue.html,,,,,,wlan,,,,,,,,,,,,,,,,,,,,B&B La Combaz d'Amont,,,,,,,
7.081447,46.4675338,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0823483,46.466974,guest_house,Chalet de la Place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0865647,46.4702421,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0351072,46.4972364,guest_house,Pinte des Lys,,,,,,,,,,,,,8,,no,,,,,,,,18,,,,,,,,,,,
7.0614087,46.5047379,guest_house,Bon-jour,http://www.bon-jour.ch,,,,,,,,,,,,,,,,,,,,,,,,,,Bon-jour,Bon-jour,,,,,Bon-jour,
7.3217248,46.4248848,guest_house,Panorama Bed and Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1422316,46.7267509,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B&B Quartenoud,,,
7.3735059,46.6242171,guest_house,Chalet Betula,,Sack,390 b,3766,,,,,,jcottonenz@googlemail.com,,,,,,,,,,,,,,,,,Chalet Betula,Chalet Betula,,,,,Chalet Betula,
7.3849624,46.5196963,guest_house,Hof Semiramis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5586939,46.4903211,guest_house,Bed & Breakfast,,Alpenweg,6,3715,Adelboden,,wlan,,CH,,,+41 33 673 34 83,,info@hausalpengruss.ch,,no,https://www.hausalpengruss.ch,,,,,,,,,+41 79 422 85 33,,,Alpengruss,,,,,
7.6648071,46.4788389,guest_house,Gemmi-Lodge Backpackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5701531,46.5018558,guest_house,Alive (Zueflucht),http://zueflucht.com,Blumenweg,3,,,,wlan,,,,,,,,,no,,,,,,,,,,,,,,,,,,
7.5746185,46.5057733,guest_house,Cantate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3844638,46.6136498,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.437823,46.6924667,guest_house,Mittliste Morgete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5605432,46.7182218,guest_house,Zur Kraftquelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5932495,46.7419898,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5965399,46.7413925,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6187335,46.7259194,guest_house,HomeBase youth feggwatt,https://feggwatt.ch/,,,3645,,+41 79 665 80 83,,,,youth@feggwatt.ch,,,,,,,,,"We 12:00-21:30; Fr 18:00-23:00",,,,,,,,,,,,,,HomeBase youth feggwatt,
7.6906086,46.6850308,guest_house,Gästehaus ABZ Seeblick,,,,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1157361,46.9250232,guest_house,Perron 13,https://www.perron13.ch/,,,,,+41 (0)26 670 02 02,wired,,,info@perron13.ch,,,,,yes,,,,,,,,,,,,,,,,,,,
7.1737314,46.8531541,guest_house,Schloss Ottisberg Bed & Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2622371,46.8211117,guest_house,Übernachtung im Kornspeicher,https://schwallers.ch/schlafen/,Cheerstrasse,3,1713,St. Antoni,,,Schwaller's Sensler Bauernladen,CH,,,+41 26 4951115,2,a.schwaller@sensemail.ch,,,,,,,,,14,,,,,,,+41 26 4953115,,,,
7.2960377,46.7844733,guest_house,B&B Ulrich-Wenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3024471,46.8251747,guest_house,Pilgerhaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2059007,46.9979171,guest_house,Happy Guesthouse,https://www.happyguesthouse.ch/,Kläyweg,9,3284,Fräschels,+41 31 755 54 24,,,,therese.christen57@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,
7.1702731,47.0106351,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1503641,47.0467061,guest_house,Restaurant Surf,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,
7.2062266,47.090738,guest_house,"Bed and Breakfast, Maison White",,Greussweg,7,2572,Mörigen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2675445,47.0422175,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3763048,47.0372147,guest_house,Rohrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.507651,46.7699819,guest_house,B&B Liechti Blumen,http://www.liechti-blumen.ch/BB.htm,,,,,+41 33 356 12 34,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4333564,46.9086954,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4517177,46.932005,guest_house,Marlis & Ueli Salzmann,,Gossetstrasse,31,3084,Köniz,,yes,,CH,,,+41 31 9617738,,,,,http://www.bnb.ch/index.php?p=page&id=1866,,,,,,,,,,,,,,,,,
7.5837525,46.7729014,guest_house,Quellenhof Uetendorf,http://quellenhof-uetendorf.ch/,,,,,,wlan,,,,,,3,,limited,,,outside,,,,,16,,,,,,,,,,,
7.6078511,46.7822508,guest_house,Phetrophat Jui's Swiss Trips & Homestay,http://www.juis-swisstrips.ch/,Blümlisalpstrasse,35,3627,Heimberg,,,,CH,,,,,,,,,,,,,,,,,,,,,,,,,
7.4256356,46.9557999,guest_house,Casita,https://www.casita-bern.ch/,,,,,,,Hélène + Daniel Lüthi,,,,,,contact@casita-bern.ch,,,,,,,"Schwalbenweg 6a, 3012 Bern",,,,,+41 79 2606612,,,,,,,,
7.4336553,46.9376661,guest_house,B&B Fleury's,http://www.fleurys.ch,,,,,,,,,,,+41 31 3720160,,jdf@bluewin.ch,,,,,,,"Dapplesweg 15, 3007 Bern",Bed & Breakfast Fleury's,,,,,,,,,,,,
7.4331167,46.9389327,guest_house,B&B Wildrose,http://www.bnb-wildrose.ch/,,,,,,,Sonya & Stefan Räber,,,,+41 31 3314472,,bern@bnb-wildrose.ch,,,,,,,"Mayweg 7, 3007 Bern",Bed & Breakfast Wildrose,,,,,,,,,,,,
7.4481202,46.9410964,guest_house,B&B Kirchenfeld,http://www.bb-kirchenfeld.ch,,,,,,,,,,,+41 31 3527519,,andi@bb-kirchenfeld.ch,,,,,,,"Aegertenstrasse 11, 3005 Bern",Bed & Breakfast Kirchenfeld,,,,,,,,,,,,
7.4312831,46.948964,guest_house,BnB Georg & Barbara Gisin-Gerber,http://www.bnb.ch/index.php?p=page&id=1992,Stadtbachstrasse,56,3012,Bern,,yes,,CH,,,+41 61 4112320,,,,,http://www.bnb.ch/index.php?p=page&id=1992,,,,,,,,,,,,,,,,,
7.4349687,46.9446573,guest_house,Villa Maria,https://www.villamaria-bern.ch,,,,,,,,,,,+41 31 3813342,,info@villamaria-bern.ch,,,https://www.villamaria-bern.ch/wp/de/kontakt/,,"Mo-Fr 08:00-11:30,14:00-17:30; Sa 08:30-11:30",,"Kapellenstrasse 9, 3011 Bern",,,,,,,,,+41 31 3813338,,,,
7.4341111,46.9491536,guest_house,am Pavillon,https://www.ampavillon.ch/,Pavillonweg,1a,3012,Bern,,wlan,,CH,,,+41 31 3010947,,mail@ampavillon.ch,,,http://www.ampavillon.ch/kontakt/,,,,,am Pavillon bed and breakfast,,,,,,,,,,,,
7.4271239,46.9537182,guest_house,seTU,http://www.setu.ch,,,,,,,Simone Wiedmer & Therese Wittwer,,,,+41 79 7738313,,info@setu.ch,,,,,,,"Freiestrasse 37, 3012 Bern",,,,,,,,,,,,,
7.4526805,46.9419643,guest_house,artistshousebern,http://www.artistshousebern.ch,,,,,,,Cilgia Rageth,,,,+41 31 3524086,,cilgiarageth@gmail.com,,,http://wohnung.cilgiaragethkunst.ch,,,,"Luisenstrasse 20, 3005 Bern",Artists house Bern,,,,,,,,,,,,
7.454918,46.942574,guest_house,B&B Ingrid Matter,,,,,,,,,,,,+41 31 3515232,,,,,,,,,"Dufourstrasse 9, 3005 Bern",Bed and Breakfast Ingrid Matter,,,,,,,,,,,,
7.4560983,46.9422971,guest_house,Beauvilla,https://www.apartment-beauvilla-bern.com,,,,,,,Gabriela & Marc Capeder Weber,,,,+41 31 3524706,,info@beauvilla-bern.com,,,http://www.beauvilla-bern.com/?page_id=21,,,,"Jungfraustrasse 28, 3005 Bern",,,,,+41 79 2218080,,,,+41 31 3524706,,,,
7.4572341,46.9421657,guest_house,Glandon Florhaus,https://www.glandon-apartments.ch/bern/florhaus,,,,,,,Glandon Apartments AG,,,,+41 31 3335050,,,,,,,,,"Florhaus, Alpenstrasse 23, 3006 Bern",,,,,,,,,,,,,
7.4578706,46.9423415,guest_house,Maison Mosgenstein,http://www.mosgenstein.ch,,,,,,,Christof Kunz & Stefan Gelzer,,,,+41 31 3515927,,mosgenstein@bluewin.ch,,,http://www.mosgenstein.ch/de/kontakt.html,,,,"Habsburgstrasse 23, 3006 Bern",,,,,+41 79 3295538,,,,,,,,
7.4546809,46.9481769,guest_house,B&B GG27,,,,,,,,,,,,+41 79 6186337,,,,,http://www.tripadvisor.com.ph/Hotel_Review-g188052-d2284986-Reviews-Gg27_Bed_Breakfast-Bern_Bern_Mittelland_District_Canton_of_Bern.html,,,,"Gerechtigkeitsgasse 27, 3011 Bern",,,,"Not sure if still exists. Contacted Nov2015, no reply.",,,,,,,,,
7.4628555,46.9470263,guest_house,B&K am Tavelweg,http://www.tavelweg.ch,,,,,,,Evelyn Hebeisen,,,,,,info@tavelweg.ch,,,,,,,"Tavelweg 30, 3006 Bern",Bed & Kitchen am Tavelweg,,,,+41 79 5962029,,,,,,,,
7.4682373,46.9449075,guest_house,Romy's Bed and Breakfast,http://www.bnb-bern.ch,Bürglenstrasse,21,3006,Bern,,,,CH,,,+41 31 3522401,,romy.pfirter@hispeed.ch,,,http://www.bnb-bern.ch,,,,,,,,,,,,,,,,,
7.4579577,46.9609615,guest_house,B&B An Wiesenstrasse,,Wiesenstrasse,34,3014,Bern,,wired,Kathrin Bohren,CH,,,+41 31 3315071,,k.bohren@bluewin.ch,,,http://www.bern.com/de/unterkuenfte/bedandbreakfast/bedandbreakfast-stadt/Bohren_Kathrin,,,,,,,,,+41 79 8206247,,,,,,,,
