X,Y,tourism,name,website,phone,addr:postcode,addr:street,addr:city,camp_type,description,email,operator,tents,addr:housenumber,caravans,description:en,fee,internet_access,wheelchair,fax,addr:country,contact:phone,internet_access:type,name:fr,power_supply,stars,surface,toilets:wheelchair,url
8.8751053,47.6608817,camp_site,Camping Grenzstein,http://www.campinggrenzstein.ch,+41 79 6469602,,,,,,,,,,,,,,,,,,,,,,,,
9.2147644,47.1151839,camp_site,Camping Murg,,,,,,,,,,,,,,,,limited,,,,,,,,,no,
9.2874708,47.1937858,camp_site,Alt Sankt Johann,,,,,,,,,,,,,,,,,,,,,,yes,,,,
9.3606799,47.2001612,camp_site,Schafbergblick,http://www.schafbergblick.ch/,,9658,,Wildhaus,,,,"WECA AG, Alois und Rita Wenk",,,,,,,,,,,,,,,,,
9.1942802,47.3066078,camp_site,Bächli,,,,,,,,,,,,,,,,,,,,,,,,,,
9.2238633,47.3288763,camp_site,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.3653618,47.4612831,camp_site,Leebrücke,,,,,,,,,,,,,,,,,,,,,,,,,,
9.361785,47.5106943,camp_site,Manser,,,,,,,,,,,,,,,,,,,,,,,,,,
9.3975604,47.5360103,camp_site,Camping Seehorn,https://www.seehorn.ch/,+41 71 477 10 06,,Wiedehorn,,,,,,,,,,,,,,,,,,,,,,
9.4206338,47.5242212,camp_site,Campingplatz Buchhorn,,,,,,,,,,,,,,,,,,,,,,,,,,
9.8790455,46.5101037,camp_site,Punt Muragl,https://www.tcs.ch/de/reisen-camping/camping/angebote/samedan.php,+41 81 842 81 97,7503,Via da Puntraschigna,Samedan,,,,TCS Camping Samedan,,56,,,,,,,,,,,,,,,
9.8917521,46.5398959,camp_site,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0132521,46.6342052,camp_site,Chapella Susana,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1270744,46.9777764,camp_site,Haus Zeinissee Camping,,,,,,,,,,yes,,,,,,,,,,,,,,,,http://www.camping-galtuer.at
10.2978801,46.7899487,camp_site,Gurlaina,,,,,,,,,,,,,,,,yes,,,,,,,,,yes,
